                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3219,                 3.8459,                 1.5372,                0.00154,                0.72656,                0.00604,                0.00197,                 1.5434,                 5.6578,                 1.8881,                0.00014,                0.00014,                0.00014
                      1,                  1.067,                 3.0217,                 1.2858,                0.00201,                0.94531,                 0.3633,                0.25566,                  1.172,                 4.5487,                 1.3284,             0.00029703,             0.00029703,             0.00029703
                      2,                0.88607,                  1.928,                 1.0906,                0.00191,                0.89844,                0.27351,                0.17827,                 1.4001,                 4.9666,                 1.5164,             0.00045089,             0.00045089,             0.00045089
                      3,                0.84863,                 1.6238,                 1.0632,                0.02575,                0.85156,                0.33433,                0.19442,                 1.3519,                 4.6968,                  1.494,             0.00060159,             0.00060159,             0.00060159
